ICAO,PHASE,YEAR,N_TOTAL,N_VALID_ASMA,N_MISSING_RANGE,N_MISSING_CLASS,N_MISSING_RWY,N_MISSING_SECTOR,PCT_VALID_ASMA
SBBR,ARR,2024,150556,120451,0,100,1998,30105,0.8000411806902415
SBBR,ARR,2025,157828,122092,0,78,2212,35736,0.7735762982487264
SBBR,ARR,2026,72122,55279,0,44,942,16843,0.7664651562629988
SBCF,ARR,2024,116158,96304,0,62,1558,19854,0.8290776356342223
SBCF,ARR,2025,120730,98332,0,58,2382,22398,0.8144785885861012
SBCF,ARR,2026,51713,41991,0,0,630,9722,0.812000850849883
SBCT,ARR,2024,61534,52714,0,40,502,8820,0.8566646081840934
SBCT,ARR,2025,63006,51004,0,14,488,12002,0.8095102053772657
SBCT,ARR,2026,27395,22094,0,4,147,5301,0.8064975360467238
SBEG,ARR,2024,46864,34359,0,116,244,12505,0.7331640491635371
SBEG,ARR,2025,47346,32528,0,128,250,14818,0.6870274151987497
SBEG,ARR,2026,20849,14938,0,14,144,5911,0.7164852031272483
SBGL,ARR,2024,112080,93629,0,396,574,18451,0.835376516773733
SBGL,ARR,2025,131576,104439,0,304,878,27137,0.7937541800936341
SBGL,ARR,2026,62613,49970,0,117,361,12643,0.798077076645425
SBGR,ARR,2024,291632,243750,0,82,944,47882,0.8358136281340868
SBGR,ARR,2025,305614,254738,0,56,1130,50876,0.8335285687174017
SBGR,ARR,2026,139612,115491,0,14,636,24121,0.8272283184826519
SBKP,ARR,2024,123532,102725,0,36,682,20807,0.831565910047599
SBKP,ARR,2025,125550,101539,0,46,2232,24011,0.8087534846674631
SBKP,ARR,2026,53470,43106,0,0,1126,10364,0.8061716850570413
SBPA,ARR,2024,33300,27797,0,122,348,5503,0.8347447447447447
SBPA,ARR,2025,68206,53793,0,76,612,14413,0.7886842799753687
SBPA,ARR,2026,33066,26043,0,8,270,7023,0.7876066049718744
SBRF,ARR,2024,93984,74661,0,56,662,19323,0.7944011746680286
SBRF,ARR,2025,84612,66573,0,18,400,18039,0.7868032903134308
SBRF,ARR,2026,38319,30054,0,4,194,8265,0.7843106552884992
SBRJ,ARR,2024,76022,60726,0,152,1076,15296,0.7987950856331062
SBRJ,ARR,2025,75752,58535,0,92,1354,17217,0.7727188721089873
SBRJ,ARR,2026,32716,24784,0,28,621,7932,0.7575498227167136
SBSP,ARR,2024,237688,190241,0,972,1814,47447,0.8003811719565144
SBSP,ARR,2025,214758,180294,0,190,1452,34464,0.8395216941860141
SBSP,ARR,2026,97200,80276,0,32,607,16924,0.8258847736625514
SBSV,ARR,2024,80298,57084,0,86,348,23214,0.7109018904580438
SBSV,ARR,2025,82076,55922,0,40,344,26154,0.6813441200838247
SBSV,ARR,2026,39880,25795,0,8,158,14085,0.646815446339017
