ICAO,PHASE,RANGE,DATE,MVTS_VALID,MVTS_NA,TOT_ASMA,TOT_REF,TOT_ADD_TIME,TOT_ASMA_SUPPLIED,TOT_UNIMP_SUPPLIED,TOT_ADD_SUPPLIED
SBBR,ARR,C100,2023-01-01,155,17,3982.8166666666666,3472.633333333333,510.18333333333334,3982.8166666666666,3371.6266666666666,611.1899999999999
SBBR,ARR,C40,2023-01-01,156,16,2430.75,2083.15,347.59999999999997,2430.75,2022.85,407.9
SBBR,ARR,C100,2023-01-02,186,29,4555.016666666666,4048.93,506.0866666666667,4555.016666666666,3983.483333333333,571.5333333333333
SBBR,ARR,C40,2023-01-02,185,30,2675.7166666666667,2335.5733333333333,340.1433333333333,2675.7166666666667,2276.49,399.2266666666667
SBBR,ARR,C100,2023-01-03,179,27,4551.433333333333,3900.48,650.9533333333334,4551.433333333333,3880.08,671.3533333333334
SBBR,ARR,C40,2023-01-03,181,25,2737.55,2355.3966666666665,382.1533333333333,2737.55,2311.3533333333335,426.19666666666666
SBBR,ARR,C100,2023-01-04,168,27,3952.4666666666667,3601.8366666666666,350.63,3952.4666666666667,3594.9,357.56666666666666
SBBR,ARR,C40,2023-01-04,167,28,2253.366666666667,2085.4133333333334,167.95333333333335,2253.366666666667,2055.6233333333334,197.74333333333334
SBBR,ARR,C100,2023-01-05,184,32,4569.25,3999.41,569.84,4569.25,3997.75,571.5
SBBR,ARR,C40,2023-01-05,183,33,2742.4666666666667,2390.71,351.7566666666667,2742.4666666666667,2347.9466666666667,394.52
SBBR,ARR,C100,2023-01-06,170,19,4185.883333333333,3657.68,528.2033333333333,4185.883333333333,3694.0499999999997,491.8333333333333
SBBR,ARR,C40,2023-01-06,165,24,2437.383333333333,2129.58,307.80333333333334,2437.383333333333,2120.0066666666667,317.37666666666667
SBBR,ARR,C100,2023-01-07,154,17,3667.05,3244.7933333333335,422.25666666666666,3667.05,3286.293333333333,380.75666666666666
SBBR,ARR,C40,2023-01-07,150,21,2102.85,1835.49,267.36,2102.85,1829.31,273.54
SBBR,ARR,C100,2023-01-08,151,13,3702,3227.46,474.53999999999996,3702,3274.45,427.55
SBBR,ARR,C40,2023-01-08,147,17,2166.9166666666665,1880.4933333333333,286.42333333333335,2166.9166666666665,1889.2266666666667,277.69
SBBR,ARR,C100,2023-01-09,199,28,4810.7,4261.856666666667,548.8433333333334,4810.7,4239.143333333333,571.5566666666666
SBBR,ARR,C40,2023-01-09,202,25,2885.65,2525.6433333333334,360.00666666666666,2885.65,2493.5266666666666,392.12333333333333
SBBR,ARR,C100,2023-01-10,178,27,4382.316666666667,3866.02,516.2966666666666,4382.316666666667,3864.93,517.3866666666667
SBBR,ARR,C40,2023-01-10,181,24,2654.4333333333334,2336.8766666666666,317.5566666666667,2654.4333333333334,2300.41,354.0233333333333
SBBR,ARR,C100,2023-01-11,162,29,3962.233333333333,3477.2366666666667,484.9966666666666,3962.233333333333,3458.3733333333334,503.86
SBBR,ARR,C40,2023-01-11,167,24,2367.9666666666667,2087.8766666666666,280.09,2367.9666666666667,2058.67,309.2966666666667
SBBR,ARR,C100,2023-01-12,182,30,4531.4,3947.2933333333335,584.1066666666666,4531.4,3905.4366666666665,625.9633333333334
SBBR,ARR,C40,2023-01-12,179,33,2576.7166666666667,2253.0533333333333,323.66333333333336,2576.7166666666667,2203.33,373.38666666666666
SBBR,ARR,C100,2023-01-13,176,26,4171.85,3783.6,388.25,4171.85,3778.68,393.17
SBBR,ARR,C40,2023-01-13,179,23,2513.35,2268.1633333333334,245.18666666666667,2513.35,2234.0066666666667,279.34333333333336
SBBR,ARR,C100,2023-01-14,151,29,3523.9333333333334,3204.633333333333,319.29999999999995,3523.9333333333334,3215.9866666666667,307.94666666666666
SBBR,ARR,C40,2023-01-14,150,30,2016.9,1829.48,187.42,2016.9,1814.2366666666667,202.66333333333333
SBBR,ARR,C100,2023-01-15,139,18,3247.75,2971.8566666666666,275.8933333333333,3247.75,2983.2833333333333,264.4666666666667
SBBR,ARR,C40,2023-01-15,143,14,1950.1,1796.51,153.59,1950.1,1780.86,169.24
SBBR,ARR,C100,2023-01-16,173,23,4131.116666666667,3782.633333333333,348.4833333333333,4131.116666666667,3757.3133333333335,373.80333333333334
SBBR,ARR,C40,2023-01-16,180,16,2573.383333333333,2347.46,225.92333333333332,2573.383333333333,2290.9866666666667,282.39666666666665
SBBR,ARR,C100,2023-01-17,173,35,4151.65,3761.6633333333334,389.9866666666667,4151.65,3739.27,412.38
SBBR,ARR,C40,2023-01-17,174,34,2471.983333333333,2237.2400000000002,234.7433333333333,2471.983333333333,2187.7566666666667,284.2266666666667
SBBR,ARR,C100,2023-01-18,169,46,4135.45,3666.286666666667,469.1633333333333,4135.45,3646.846666666667,488.60333333333335
SBBR,ARR,C40,2023-01-18,171,44,2442.3166666666666,2179.8633333333332,262.4533333333333,2442.3166666666666,2138.153333333333,304.16333333333336
SBBR,ARR,C100,2023-01-19,167,38,4080.483333333333,3651.58,428.9033333333333,4080.483333333333,3639.7666666666664,440.71666666666664
SBBR,ARR,C40,2023-01-19,172,33,2526.883333333333,2258.8533333333335,268.03000000000003,2526.883333333333,2223.9133333333334,302.97
SBBR,ARR,C100,2023-01-20,172,24,4305.483333333334,3754.826666666667,550.6566666666666,4305.483333333334,3715.4766666666665,590.0066666666667
SBBR,ARR,C40,2023-01-20,172,24,2573.7,2228.6466666666665,345.05333333333334,2573.7,2179.38,394.32
SBBR,ARR,C100,2023-01-21,159,20,3779.75,3396.83,382.91999999999996,3779.75,3431.96,347.79
SBBR,ARR,C40,2023-01-21,154,25,2203.3,1939.08,264.22,2203.3,1912.6233333333332,279.09333333333336
SBBR,ARR,C100,2023-01-22,151,9,3735.9833333333336,3249.7633333333333,486.22,3735.9833333333336,3277.5466666666666,458.43666666666667
SBBR,ARR,C40,2023-01-22,140,20,2057.95,1785.4933333333333,272.4566666666667,2057.95,1787.3966666666668,270.55333333333334
SBBR,ARR,C100,2023-01-23,172,17,4164.716666666666,3673.483333333333,491.2333333333333,4164.716666666666,3709.1833333333334,455.53333333333336
SBBR,ARR,C40,2023-01-23,167,22,2434.4166666666665,2134.4066666666668,300.01000000000005,2434.4166666666665,2130.5533333333333,303.86333333333334
SBBR,ARR,C100,2023-01-24,178,23,4435.05,3838.62,596.4300000000001,4435.05,3861.233333333333,573.8166666666666
SBBR,ARR,C40,2023-01-24,172,29,2591.516666666667,2230.5666666666666,360.95000000000005,2591.516666666667,2219.713333333333,371.80333333333334
SBBR,ARR,C100,2023-01-25,170,24,4477.15,3746.7166666666667,730.4333333333333,4477.15,3747.8199999999997,729.33
SBBR,ARR,C40,2023-01-25,168,26,2687.45,2270.633333333333,416.81666666666666,2687.45,2246.8366666666666,440.61333333333334
SBBR,ARR,C100,2023-01-26,199,33,4877.966666666666,4378.846666666666,499.12,4877.966666666666,4307.08,570.8866666666667
SBBR,ARR,C40,2023-01-26,210,22,2996.3166666666666,2734.2766666666666,262.04,2996.3166666666666,2671.47,324.8466666666667
SBBR,ARR,C100,2023-01-27,179,32,4661.2,3895.07,766.13,4661.2,3858.883333333333,802.3166666666667
SBBR,ARR,C40,2023-01-27,184,27,2876.65,2376.11,500.54,2876.65,2335.36,541.29
SBBR,ARR,C100,2023-01-28,160,23,3858.2,3451.6233333333334,406.57666666666665,3858.2,3439.58,418.62
SBBR,ARR,C40,2023-01-28,159,24,2231,2013.72,217.28,2231,1975.45,255.55
SBBR,ARR,C100,2023-01-29,146,17,3531.633333333333,3150.5833333333335,381.04999999999995,3531.633333333333,3180.213333333333,351.42
SBBR,ARR,C40,2023-01-29,141,22,2014.85,1815.7666666666667,199.08333333333334,2014.85,1799.47,215.38
SBBR,ARR,C100,2023-01-30,182,18,4419.983333333334,3986.6033333333335,433.38,4419.983333333334,3942.246666666667,477.7366666666667
SBBR,ARR,C40,2023-01-30,177,23,2512.6833333333334,2315.096666666667,197.58666666666667,2512.6833333333334,2262.19,250.49333333333334
SBBR,ARR,C100,2023-01-31,198,35,4869.8,4339.876666666667,529.9233333333334,4869.8,4283.546666666667,586.2533333333333
SBBR,ARR,C40,2023-01-31,198,35,2890.5666666666666,2577.0033333333336,313.56333333333333,2890.5666666666666,2515.3233333333333,375.24333333333334
SBBR,ARR,C100,2023-02-01,175,47,4254.716666666666,3868.1033333333335,386.61333333333334,4254.716666666666,3798.72,455.99666666666667
SBBR,ARR,C40,2023-02-01,185,37,2658.733333333333,2414.846666666667,243.88666666666666,2658.733333333333,2342.2599999999998,316.47333333333336
SBBR,ARR,C100,2023-02-02,184,43,4591.116666666667,4079.13,511.9866666666667,4591.116666666667,4011.6833333333334,579.4333333333333
SBBR,ARR,C40,2023-02-02,191,36,2858.5333333333333,2518.02,340.5133333333333,2858.5333333333333,2450.4966666666664,408.0366666666667
SBBR,ARR,C100,2023-02-03,188,38,4586.733333333334,4045.33,541.4033333333333,4586.733333333334,4026.43,560.3033333333333
SBBR,ARR,C40,2023-02-03,197,29,2842.866666666667,2471.746666666667,371.12,2842.866666666667,2424.28,418.58666666666664
SBBR,ARR,C100,2023-02-04,159,18,3933.6,3450.0333333333333,483.5666666666666,3933.6,3458.8033333333333,474.7966666666667
SBBR,ARR,C40,2023-02-04,158,19,2305.2166666666667,2037.1466666666668,268.07,2305.2166666666667,2017.84,287.37666666666667
SBBR,ARR,C100,2023-02-05,161,18,4162.55,3526.116666666667,636.4333333333333,4162.55,3485,677.55
SBBR,ARR,C40,2023-02-05,169,10,2514.116666666667,2180.0033333333336,334.11333333333334,2514.116666666667,2125.59,388.52666666666664
SBBR,ARR,C100,2023-02-06,192,24,4696.65,4165.196666666667,531.4533333333334,4696.65,4147.98,548.67
SBBR,ARR,C40,2023-02-06,195,21,2835,2513.8733333333334,321.12666666666667,2835,2477.54,357.46
SBBR,ARR,C100,2023-02-07,195,27,4814.233333333334,4306.513333333333,507.71999999999997,4814.233333333334,4230.536666666667,583.6966666666667
SBBR,ARR,C40,2023-02-07,201,21,2938.6833333333334,2626.8733333333334,311.81,2938.6833333333334,2558.32,380.36333333333334
SBBR,ARR,C100,2023-02-08,185,34,4544.066666666667,4071.72,472.34666666666664,4544.066666666667,4006.6966666666667,537.37
SBBR,ARR,C40,2023-02-08,188,31,2702.2166666666667,2452.08,250.13666666666666,2702.2166666666667,2385.4366666666665,316.78
SBBR,ARR,C100,2023-02-09,188,29,4567.116666666667,4076.96,490.15666666666664,4567.116666666667,4032.2266666666665,534.89
SBBR,ARR,C40,2023-02-09,188,29,2663.5333333333333,2372.1366666666668,291.39666666666665,2663.5333333333333,2319.08,344.4533333333333
SBBR,ARR,C100,2023-02-10,180,42,4358.75,3912.47,446.28,4358.75,3888.3566666666666,470.3933333333333
SBBR,ARR,C40,2023-02-10,188,34,2720.45,2433.5333333333333,286.9166666666667,2720.45,2361.24,335.84333333333336
SBBR,ARR,C100,2023-02-11,154,20,3721.733333333333,3342.83,378.9033333333333,3721.733333333333,3328.4666666666667,393.26666666666665
SBBR,ARR,C40,2023-02-11,158,16,2253.3,2034.2966666666666,219.00333333333333,2253.3,1994.2866666666666,259.0133333333333
SBBR,ARR,C100,2023-02-12,151,20,3785.0833333333335,3292.8933333333334,492.19,3785.0833333333335,3280.596666666667,504.4866666666667
SBBR,ARR,C40,2023-02-12,154,17,2283.983333333333,2012.2733333333333,271.71000000000004,2283.983333333333,1977.6399999999999,306.34333333333336
SBBR,ARR,C100,2023-02-13,196,38,4762.75,4280.933333333333,481.8166666666667,4762.75,4256.673333333333,506.07666666666665
SBBR,ARR,C40,2023-02-13,205,29,2941.983333333333,2670.846666666667,271.13666666666666,2941.983333333333,2611.806666666667,330.1766666666667
SBBR,ARR,C100,2023-02-14,180,32,4364.666666666667,3919.9333333333334,444.73333333333335,4364.666666666667,3888.766666666667,475.9
SBBR,ARR,C40,2023-02-14,184,28,2610.45,2380.29,230.15999999999997,2610.45,2325.2233333333334,285.2266666666667
SBBR,ARR,C100,2023-02-15,150,74,3541.3,3273.4866666666667,267.81333333333333,3541.3,3260.8033333333333,280.49666666666667
